name;address;gmap_id;description;latitude;longitude;category;avg_rating;num_of_reviews;price;hours;MISC;state;relative_results;url
Camp Walter Scott;Camp Walter Scott, 15290 E 300th Ave, Dieterich, IL 62424;0x8873eb206dd04879:0xb303a76f2c682e4;;38.9599439;-88.5190248;['Conference center'];4.9;14;;;{'Accessibility': ['Wheelchair accessible entrance']};;['0x8873bbdf9a504c3d:0x1cf279640439c21f', '0x8873b675f68b83a5:0xc753171589d438c3', '0x8873bbdf077fb953:0x81f5b500c67b9884', '0x88739a07e805912b:0x6a41eb55ca8a5779'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8873eb206dd04879:0xb303a76f2c682e4?authuser=-1&hl=en&gl=us
North Coast Roofing Systems, A Beacon Roofing Supply Company;North Coast Roofing Systems, A Beacon Roofing Supply Company, 320 N Congress Ave, Evansville, IN 47715;0x886e2ae27a6b7837:0x97e24921672ae27c;;37.9807424;-87.5001964;['Roofing supply store', 'Building materials store', 'Building materials supplier', 'Construction equipment supplier', 'Home improvement store', 'Roofing contractor'];5.0;2;;[['Thursday', '7AM–4:30PM'], ['Friday', '7AM–4:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7AM–4:30PM'], ['Tuesday', '7AM–4:30PM'], ['Wednesday', '7AM–4:30PM']];{'Accessibility': ['Wheelchair accessible entrance']};Permanently closed;['0x8871d57e0e9942f1:0xdca0064e54c29f5a', '0x886e2b092e2ca521:0x9706498a1c1fdcb5', '0x89c149c7dec242ad:0x5b0a88adc32662a3', '0x886e2b861378dcd3:0x8786fdeff2abf5f6', '0x8871d5e081317977:0xbd64479b04237c95'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x886e2ae27a6b7837:0x97e24921672ae27c?authuser=-1&hl=en&gl=us
Communication Dynamics Pediatric Therapy;Communication Dynamics Pediatric Therapy, 1385 Oglethorpe St, Macon, GA 31201;0x88f3fe84b3eb91a9:0xc632096c7ee64b71;;32.834362;-83.64522;['Speech pathologist'];4.8;18;;[['Thursday', '8:30AM–6PM'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–6PM'], ['Tuesday', '8:30AM–6PM'], ['Wednesday', '8:30AM–6PM']];{'From the business': ['Identifies as Black-owned', 'Identifies as women-led'], 'Health & safety': ['Appointment required', 'Mask required', 'Temperature check required', 'Staff wear masks', 'Staff get temperature checks'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible restroom'], 'Amenities': ['Restroom'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 6PM;['0x88f3f8a4f7618ee9:0x44e17d62eefc6bc9', '0x88f3f8a4f7618ee9:0xc1031b7ffbbffed2', '0x88f4079dc1a62807:0x509accf85f196646', '0x88f3f8a4f7618ee9:0xd9ac489f4db29ea4', '0x88f3e6d407a5ae4f:0xa1ce83e302b7e296'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f3fe84b3eb91a9:0xc632096c7ee64b71?authuser=-1&hl=en&gl=us
Tibidabo Spa;Tibidabo Spa, 203 Byrd Ct, Warner Robins, GA 31088;0x88f3e6d6c627b399:0x8c2024cd211ca55a;;32.609694;-83.684196;['Beauty salon', 'Massage therapist'];4.6;24;;[['Thursday', '10AM–6PM'], ['Friday', '10AM–6PM'], ['Saturday', '10AM–2PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '10AM–6PM'], ['Wednesday', '10AM–6PM']];{'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 6PM;['0x88f3e6d72849df73:0x778a89d6c9a6e974', '0x88f3e6ce2f868e83:0xd580461cff614487', '0x88f3e051b1c58163:0x5e072f3168ad4984', '0x88f3e6c4b713bd7f:0x2adeb938dc1db0dd', '0x88f3e6c5d5cda81f:0x9a6b7ec2ca99d621'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f3e6d6c627b399:0x8c2024cd211ca55a?authuser=-1&hl=en&gl=us
Macon Banquet;Macon Banquet, 3720 Bloomfield Village Dr, Macon, GA 31206;0x88f3fb847f6a4833:0x91a0e1ef28d778ed;;32.8146808;-83.7004243;['Banquet hall', 'Caterer', 'Convention center', 'Event venue', 'Party planner', 'Wedding venue'];4.8;18;;[['Thursday', '10AM–5PM'], ['Friday', '10AM–5PM'], ['Saturday', '12–5PM'], ['Sunday', '12–5PM'], ['Monday', '10AM–5PM'], ['Tuesday', '10AM–5PM'], ['Wednesday', '10AM–5PM']];{'Service options': ['Delivery'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot']};Open ⋅ Closes 5PM;['0x88f3fb554b0e9207:0x7c8b5de52c7a00b5', '0x88f3fa289ea13145:0x8584180aa5b88fbc', '0x88f3fe7c065f7335:0xd11a10ee5caf35e8'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f3fb847f6a4833:0x91a0e1ef28d778ed?authuser=-1&hl=en&gl=us
University Federal Credit Union;University Federal Credit Union, 7220 S Highland Dr, Cottonwood Heights, UT 84121;0x87528767d0ec0e4d:0x7a2f1637a6fb6925;;40.6200689;-111.834952;['Credit union', 'ATM', 'Bank', 'Check cashing service', 'Loan agency', 'Money transfer service', 'Mortgage lender'];3.8;25;;[['Thursday', '9AM–6PM'], ['Friday', '9AM–6PM'], ['Saturday', '9AM–2PM'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM']];{'Service options': ['Drive-through'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Cash advance']};Open ⋅ Closes 6PM;['0x875261daf7d2a98d:0x9fa745d87ca27ec4', '0x8752f56e9f0ef27b:0x9d7e93e9dfea9895', '0x8752880044fa9c0b:0xdfdd9340e032920', '0x875289d0940b7269:0x62b288ded7c838f4'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x87528767d0ec0e4d:0x7a2f1637a6fb6925?authuser=-1&hl=en&gl=us
Maverik Adventure's First Stop;Maverik Adventure's First Stop, 3330 S 500 W, South Salt Lake, UT 84115;0x87528bb7ab938cb3:0x5ee996e34cc50715;;40.698585;-111.90640599999999;['Fuel supplier', 'Convenience store', 'Fast food restaurant', 'Gas station'];3.4;5;;[['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours']];{'Accessibility': ['Wheelchair accessible entrance']};Open 24 hours;;https://www.google.com/maps/place//data=!4m2!3m1!1s0x87528bb7ab938cb3:0x5ee996e34cc50715?authuser=-1&hl=en&gl=us
Granite Credit Union;Granite Credit Union, 9151 Quarry Bend Dr, Sandy, UT 84094;0x8752886f10e79bb9:0x28c71adea02f3862;;40.585278699999996;-111.86026729999999;['Credit union', 'ATM'];4.4;8;;[['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–4PM'], ['Sunday', 'Closed'], ['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 7PM;['0x8752880044fa9c0b:0xdfdd9340e032920', '0x875287e25819dbc3:0xae7128cf88940886', '0x87528874de074211:0x472adbac5a784851', '0x8752f56e9f0ef27b:0x9d7e93e9dfea9895', '0x875289d0940b7269:0x62b288ded7c838f4'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8752886f10e79bb9:0x28c71adea02f3862?authuser=-1&hl=en&gl=us
Indian Valley Closing Services Inc;Indian Valley Closing Services Inc, 504 Harleysville Pike, Souderton, PA 18964;0x89c6a024f46d6bc1:0x39a17e288d3ce9b5;;40.3153583;-75.3319282;['Title company'];5.0;6;;[['Thursday', '8:30AM–5PM'], ['Friday', '8:30AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–5PM'], ['Tuesday', '8:30AM–5PM'], ['Wednesday', '8:30AM–5PM']];;Open ⋅ Closes 5PM;['0x89c6961c4f3fcc59:0x5f2b676cc9009204', '0x89c6a83db3b8564f:0xb176bb1aacda976b', '0x89c6a82a46cf56fd:0x69869cc136190d63', '0x89c6a821fa4a1715:0x65213c63d5320c21', '0x89c6a14eeeeb4c17:0x529d939b9fc2684a'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c6a024f46d6bc1:0x39a17e288d3ce9b5?authuser=-1&hl=en&gl=us
My Express Care Pharmacy;My Express Care Pharmacy, 4453 Crain Hwy, White Plains, MD 20695;0x89b7a76096bdad0b:0x66e4be0af3dc1720;;38.5908611;-76.9429746;['Pharmacy'];4.6;32;;[['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', '10AM–5PM'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM']];{'Service options': ['In-store shopping'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Payments': ['Checks', 'Credit cards']};Open ⋅ Closes 5PM;['0x89b7a0e957a2682b:0x58e2941121a6aa96', '0x89b7a0e6c25ec71d:0x8ad47ef7fc8e99d6', '0x89b708ebbdbf8903:0x760f83277690a4f4', '0x89b7a0b8f26e8163:0x6c2ca7895b71f1fe', '0x89b7bc6b5a8eaaab:0x45af82f7bd546c34'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b7a76096bdad0b:0x66e4be0af3dc1720?authuser=-1&hl=en&gl=us
Balanced Body Center;Balanced Body Center, 2725, 975 Lincoln St suite 202, Denver, CO 80203;0x876c7f29c314e231:0x64ad9f6823d8f5d9;;39.731746;-104.98645099999999;['Chiropractor', 'Acupuncturist', 'Alternative medicine practitioner', 'Counselor', 'Family counselor', 'Holistic medicine practitioner', 'Marriage or relationship counselor', 'Massage therapist', 'Nutritionist', 'Psychotherapist'];5.0;5;;[['Thursday', 'Closed'], ['Friday', '9AM–5PM'], ['Saturday', '8AM–1PM'], ['Sunday', 'Closed'], ['Monday', '2–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM']];{'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']};Closed ⋅ Opens 9AM Fri;['0x876c7de002677b3d:0xf58523cb413ca4c4', '0x876b879d52734625:0x38868258376a62a5', '0x876c7f29c314e231:0x12853b410f6a3c28', '0x876c7f29cfa1bbed:0xf187dd25449ec1e8', '0x876c7b9ad85c1611:0x50dd31be39b26e0f'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x876c7f29c314e231:0x64ad9f6823d8f5d9?authuser=-1&hl=en&gl=us
The Academy of Charter Schools, North Campus (Pre-K - 2nd Grade);The Academy of Charter Schools, North Campus (Pre-K - 2nd Grade), 12161 Park Centre Dr, Westminster, CO 80234;0x876c75945568003d:0x2fae418af6d1e13a;;39.9187641;-105.0114565;['Charter school'];3.8;14;;[['Thursday', '7:45AM–2:55PM'], ['Friday', '7:45AM–2:55PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7:45AM–2:55PM'], ['Tuesday', '9AM–2:55PM'], ['Wednesday', '7:45AM–2:55PM']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 2:55PM;['0x876b897a19de9c83:0xb350a4b43dc95258', '0x876c7477a3d85013:0xe1417a682fd94d1f', '0x876b896d6dc91d61:0x7e6dd3c2bbdef5fa', '0x876b8981dba7b033:0xcf803bb5bb1ce0bf', '0x876b8866a2863003:0x20866a01d3a5380f'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x876c75945568003d:0x2fae418af6d1e13a?authuser=-1&hl=en&gl=us
Elemental Chiropractic;Elemental Chiropractic, 1155 Sherman St #101, Denver, CO 80203;0x876c7eb14fdbcd07:0x952eef51c994cd20;;39.7350025;-104.9852981;['Chiropractor'];5.0;17;;[['Thursday', '10AM–1PM'], ['Friday', 'Closed'], ['Saturday', '9AM–1PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '10AM–6PM'], ['Wednesday', '9AM–6PM']];{'Accessibility': ['Wheelchair accessible elevator', 'Wheelchair accessible entrance', 'Wheelchair accessible restroom'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 1PM;['0x876c7ddfc6c04a5b:0x9e05b7e2ec507d96', '0x876c7ed650098761:0xcf6443998d9c8bdc', '0x876c7f2740839157:0x2312b78e53772b1', '0x876b87c8b7dbf651:0x153771bfac762bcf', '0x876c7edb6ac26ed9:0xffb5d6ffce8311e5'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x876c7eb14fdbcd07:0x952eef51c994cd20?authuser=-1&hl=en&gl=us
Miyamoto Family Dental;Miyamoto Family Dental, 2530 S Parker Rd #201, Aurora, CO 80014;0x876c87f681db8d45:0x8c80933b2bdaf571;;39.6711066;-104.8637933;['Dentist'];5.0;178;;[['Thursday', '8AM–2PM'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM']];{'From the business': ['Identifies as women-led'], 'Health & safety': ['Mask required', 'Temperature check required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Accessibility': ['Wheelchair accessible elevator', 'Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 2PM;['0x876c7da724c4111b:0x834cb560f27b7364', '0x876c881a105c1ee9:0x4c16b0ef1bff3587', '0x876c86a47ab6af0d:0xbe75dca181f96754', '0x876b81d21366cd6f:0x4c4930087123eb60', '0x876c8085c9c85513:0xc20736809348c820'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x876c87f681db8d45:0x8c80933b2bdaf571?authuser=-1&hl=en&gl=us
Walmart Connection Center;Walmart Connection Center, 2501 E North St, Kendallville, IN 46755;0x8816145bf5141c89:0xdc5493eabe361325;;41.447683999999995;-85.224323;['Cell phone store'];3.0;1;$;[['Thursday', '6AM–11PM'], ['Friday', '6AM–11PM'], ['Saturday', '6AM–11PM'], ['Sunday', '6AM–11PM'], ['Monday', '6AM–11PM'], ['Tuesday', '6AM–11PM'], ['Wednesday', '6AM–11PM']];{'Service options': ['Curbside pickup', 'In-store pickup', 'In-store shopping', 'Delivery'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Quick visit']};Open ⋅ Closes 11PM;['0x881614cdb7becec9:0xd8f925398e3df3a', '0x88166b33c993f307:0x9b8255cbacbcf269', '0x881614ce7f643987:0xe886b49ef173e8c', '0x88161b390f349b2f:0xea9429a3d09e5d5e'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8816145bf5141c89:0xdc5493eabe361325?authuser=-1&hl=en&gl=us
Children's Village Early Learning Center;Children's Village Early Learning Center, 351 N Allen Chapel Rd, Kendallville, IN 46755;0x881614f6823a9a45:0x6933c2ee79ae5bcf;;41.4483639;-85.2334142;['Miniature golf course'];4.0;5;;[['Thursday', '5:30AM–5:30PM'], ['Friday', '5:30AM–5:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '5:30AM–5:30PM'], ['Tuesday', '5:30AM–5:30PM'], ['Wednesday', '5:30AM–5:30PM']];{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids', 'Restaurant']};Open ⋅ Closes 5:30PM;['0x8815e5519ceddaa7:0xd6fb92f684dc0b21', '0x8816426902058495:0x953b66cef6de79dd', '0x881626258a29e707:0xbf4552b2c5d45ec2', '0x88166b115097bf67:0x153ab149d2856d15', '0x8815e30ca18c6f2d:0x7909b27bf0176f8d'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614f6823a9a45:0x6933c2ee79ae5bcf?authuser=-1&hl=en&gl=us
RE/MAX Results;RE/MAX Results, 125 E North St, Kendallville, IN 46755;0x881614ce6eb7bde3:0x4f2038e208f48452;;41.452655;-85.2661676;['Real estate agency'];4.0;3;;[['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', '9AM–12PM'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM']];;Permanently closed;['0x881614e945a5352d:0xc7fdf765bf86ac61', '0x88164217e6bcede1:0x1ce6d639f25bf135', '0x881614ce6c615555:0x65384c029ce6c3b8', '0x8816129a549de551:0x133f8c1e71aca015', '0x88164217e43d5da1:0xee66077f1c141061'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614ce6eb7bde3:0x4f2038e208f48452?authuser=-1&hl=en&gl=us
Walgreens Pharmacy;Walgreens Pharmacy, 124 E North St, Kendallville, IN 46755;0x881614ce7c13acbb:0x5c7b18bbf6ec4f7e;Department of the Walgreens chain providing prescription medications & other health-related items.;41.451859999999996;-85.2666757;['Pharmacy'];4.2;5;$$;[['Thursday', '8AM–1:30PM'], ['Friday', '8AM–1:30PM'], ['Saturday', '9AM–1:30PM'], ['Sunday', '10AM–1:30PM'], ['Monday', '8AM–1:30PM'], ['Tuesday', '8AM–1:30PM'], ['Wednesday', '8AM–1:30PM']];{'Service options': ['Curbside pickup', 'Drive-through', 'In-store pickup', 'In-store shopping'], 'Health & safety': ['Mask required', 'Staff wear masks', 'Staff get temperature checks'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Planning': ['Quick visit'], 'Payments': ['Checks', 'Debit cards']};Closes soon ⋅ 1:30PM ⋅ Reopens 2PM;['0x881614cd49e4fa33:0x2d507c24ff4f1c74', '0x8816145bf5141c89:0x535c1d605109f94b', '0x881614cda24cc591:0xca426e3a9b826432', '0x88162894d98b91ef:0xd139b34de70d3e03', '0x881615400b5e57f9:0xc56d17dbe420a67f'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614ce7c13acbb:0x5c7b18bbf6ec4f7e?authuser=-1&hl=en&gl=us
bp;bp, 111 W North St, Kendallville, IN 46755;0x881614cdcdd1f645:0xe524e597b7563b83;;41.452030799999996;-85.2678932;['Gas station', 'ATM', 'Convenience store'];4.0;4;;[['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours']];{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Restroom']};Open 24 hours;['0x88161357244ece6b:0x7569c5179088711a', '0x88166b3b0145f6c3:0x4598f26a4dc7a91c', '0x8816145c4622eb81:0x6a975ebaa6d93c78', '0x881614cd125388e1:0x7d0e70998b640538', '0x881614e8dfa3fff1:0x902fb718c0524663'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614cdcdd1f645:0xe524e597b7563b83?authuser=-1&hl=en&gl=us
Walmart Garden Center;Walmart Garden Center, 2501 E North St, Kendallville, IN 46755;0x8816145b8ffbfed3:0xfd68c62d7ae8c8b0;;41.4476721;-85.2240453;['Garden center', 'Landscaping supply store', 'Lawn mower store', 'Outdoor furniture store'];4.0;2;$;[['Thursday', '6AM–11PM'], ['Friday', '6AM–11PM'], ['Saturday', '6AM–11PM'], ['Sunday', '6AM–11PM'], ['Monday', '6AM–11PM'], ['Tuesday', '6AM–11PM'], ['Wednesday', '6AM–11PM']];{'Service options': ['Curbside pickup', 'In-store pickup', 'In-store shopping'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Planning': ['Quick visit']};Open ⋅ Closes 11PM;['0x8816689786fdd233:0xa0bef74a78f9375d', '0x88161ba5eb6c4e15:0x263269e0949c0760', '0x88160fdb262ba9ff:0x8ded7c23945aac99', '0x881614c2b8122109:0x1b7da20757c3cbe1', '0x88162f4eb234a573:0x8a4bab24e68f239b'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8816145b8ffbfed3:0xfd68c62d7ae8c8b0?authuser=-1&hl=en&gl=us
Walmart Vision & Glasses;Walmart Vision & Glasses, 2501 E North St, Kendallville, IN 46755;0x8816145bf5141c89:0xbba55efb71a60e0e;;41.4476721;-85.2240453;['Optician', 'Contact lenses supplier', 'Eye care center', 'Sunglasses store'];3.6;5;$;[['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–7PM'], ['Sunday', 'Closed'], ['Monday', '9AM–8PM'], ['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM']];{'Service options': ['In-store pickup', 'In-store shopping', 'Delivery'], 'Health & safety': ['Staff required to disinfect surfaces between visits', 'Safety dividers at checkout'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom'], 'Amenities': ['Restroom'], 'Planning': ['Appointments recommended', 'Quick visit']};Open ⋅ Closes 8PM;['0x881614cd90bc2be1:0xd7b22adc3bc3669f', '0x881614b69281063f:0xc9c1d9655fc1dc57', '0x88161b7bcf5c090b:0xa36d845dba22d54'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8816145bf5141c89:0xbba55efb71a60e0e?authuser=-1&hl=en&gl=us
Walmart Photo Center;Walmart Photo Center, 2501 E North St, Kendallville, IN 46755;0x8816145bf5141c89:0xfb7c218d7fb81adb;;41.4476721;-85.2240453;['Photo shop', 'Digital printer', 'Photo lab'];2.7;3;$;[['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–8PM'], ['Sunday', '10AM–8PM'], ['Monday', '9AM–8PM'], ['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM']];{'Service options': ['Curbside pickup', 'In-store pickup', 'In-store shopping', 'Delivery'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Offerings': ['Repair services', 'Service guarantee'], 'Planning': ['Quick visit']};Open ⋅ Closes 8PM;['0x881614ce7c13acbb:0xc36b4782342d183e', '0x881614cda24cc591:0xc083e45a2c5a630e', '0x88166b3b79d776af:0x86d4b804bff387c', '0x881614c11277b721:0xc1f691f5b0737080'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8816145bf5141c89:0xfb7c218d7fb81adb?authuser=-1&hl=en&gl=us
Bixler Lake Disc Golf Course - East;Bixler Lake Disc Golf Course - East, Kendallville, IN 46755;0x88161493b6bdfae5:0x9bf1d9e975ffb98d;;41.4396892;-85.24416629999999;['Disc golf course'];3.8;4;;;{'Accessibility': ['Wheelchair accessible entrance']};;['0x881614be33f5dfa7:0x18a1337601443254', '0x88161b17842ed5af:0x6e047102998618b3', '0x88166b49565c9d9f:0x55de68e3a0ead930', '0x8815ef8a27a5ff67:0xb45f0782ff7d0c08', '0x8815e444900d4601:0xd87a2310df8eaa0'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x88161493b6bdfae5:0x9bf1d9e975ffb98d?authuser=-1&hl=en&gl=us
Kendallville Park & Recreation;Kendallville Park & Recreation, 1650 Lake Park Dr, Kendallville, IN 46755;0x881614ed3a8e45ad:0x671e193b60a7c2c4;;41.4438276;-85.2430086;['Campground', 'Park'];4.1;18;;;{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']};;['0x881614b0bd4e6c31:0x233c16726a08b226', '0x88163f11090a218f:0x20d0dd16c9314944', '0x881674216bced4c1:0xe54cffdb0ca7e5af', '0x88167427f853bad3:0xfa32211c0c950a11', '0x8816429409dcf9bf:0x45803350b2d2d979'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614ed3a8e45ad:0x671e193b60a7c2c4?authuser=-1&hl=en&gl=us
Detering Nature Preserve - ACRES Land Trust;Detering Nature Preserve - ACRES Land Trust, 1421 Kammerer Rd, Kendallville, IN 46755;0x881614e8b99a2511:0xb7e366908742e250;;41.452225899999995;-85.2476339;['Nature preserve'];4.5;8;;[['Thursday', '5AM–10PM'], ['Friday', '5AM–10PM'], ['Saturday', '5AM–10PM'], ['Sunday', '5AM–10PM'], ['Monday', '5AM–10PM'], ['Tuesday', '5AM–10PM'], ['Wednesday', '5AM–10PM']];{'Amenities': ['Good for kids']};Open ⋅ Closes 10PM;['0x88161582fec03e9f:0x1d95137f71ba36e3', '0x88164308df51507b:0x95c84229168a8b8b', '0x881669fd770302c7:0x9fa8ae4273584fba', '0x883d8b237584c19f:0xc579bfc92293297e', '0x881614ed3a8e45ad:0x671e193b60a7c2c4'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614e8b99a2511:0xb7e366908742e250?authuser=-1&hl=en&gl=us
Bixler Lake Disc Golf Course - West;Bixler Lake Disc Golf Course - West, Kendallville, IN 46755;0x881614be33f5dfa7:0x18a1337601443254;;41.440792699999996;-85.252513;['Disc golf course'];4.5;8;;;{'Accessibility': ['Wheelchair accessible entrance']};;['0x88161493b6bdfae5:0x9bf1d9e975ffb98d', '0x88161b17842ed5af:0x6e047102998618b3', '0x8815e446c22f3a0d:0x36b28355ec5b5bdb', '0x88166b49565c9d9f:0x55de68e3a0ead930', '0x88166b990c8a0ec3:0x987c190aefaadeb4'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614be33f5dfa7:0x18a1337601443254?authuser=-1&hl=en&gl=us
Kendallville Park and Recreation Dept & Youth Center;Kendallville Park and Recreation Dept & Youth Center, 211 Iddings St, Kendallville, IN 46755;0x881614b0bd4e6c31:0x874fefe796e4e798;;41.4378251;-85.26242429999999;['Park', 'City government office'];5.0;2;;[['Thursday', '7:30AM–4PM'], ['Friday', '7:30AM–4PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7:30AM–4PM'], ['Tuesday', '7:30AM–4PM'], ['Wednesday', '7:30AM–4PM']];{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']};Open ⋅ Closes 4PM;['0x881614ed3a8e45ad:0x671e193b60a7c2c4', '0x881614b9b54aadf7:0xff327b5782a3efac', '0x881642d6e6d9e53f:0x9c844455193000e9', '0x88161b1781b096db:0x414aefe5121c4996', '0x8816ec12c7410155:0x388ed2ea793aaa5'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614b0bd4e6c31:0x874fefe796e4e798?authuser=-1&hl=en&gl=us
Redbox;Redbox, 124 E North St, Kendallville, IN 46755;0x881614ce7f643987:0x44100e01a96428f6;Kiosk chain renting movies, including new releases (many are located inside stores).;41.4501075;-85.2659683;['Movie rental kiosk', 'DVD store', 'Movie rental store'];4.3;4;$;[['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours']];{'Accessibility': ['Wheelchair accessible entrance']};Open 24 hours;['0x881614ce7f643987:0xe886b49ef173e8c', '0x881614e92f64e125:0x507c486344f88568', '0x881614cdda8aa245:0x6187a81f577e6906', '0x8816145bf5141c89:0xdc5493eabe361325'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x881614ce7f643987:0x44100e01a96428f6?authuser=-1&hl=en&gl=us
